Actual Profit ($),Actual Sales (Qty),Actual Cost of Goods Sold  (COGS) ($),Actual Total Expenses ($),Inventory (Qty),Budget Profit ($),Budget Sales (Qty),Budget COGS ($),Date,Market,Province,City,Store#,Market Size,Product Type,Product,Type
241,634,272,121,1616,190,430,170,30/06/2019,Central,Ontario,Kingston,738,Medium Market,Tea,Darjeeling,Regular
241,634,272,121,1616,300,740,310,30/06/2019,Central,Quebec,Montreal,312,Major Market,Espresso,Caffe Mocha,Regular
263,669,271,135,1727,220,520,200,30/06/2019,Atlantic,PEI,Montague,607,Major Market,Herbal Tea,Lemon,Decaf
318,675,260,97,1405,340,660,240,30/06/2019,Atlantic,PEI,Montague,631,Major Market,Espresso,Regular Espresso,Regular
357,890,356,177,2476,500,1110,440,30/06/2019,West,British Columbia,Victoria,690,Major Market,Coffee,Colombian,Regular
357,890,356,177,2476,350,840,340,30/06/2019,Atlantic,PEI,Montague,646,Major Market,Coffee,Colombian,Regular
547,649,54,48,-1006,530,610,50,30/06/2019,Atlantic,Newfoundland,St. John's,2001,Major Market,Coffee,Colombian,Regular
-378,27,270,135,5230,-250,0,170,31/07/2019,Central,Ontario,Waterloo,702,Small Market,Tea,Green Tea,Regular
-266,77,162,181,2321,-240,70,150,31/07/2019,Atlantic,PEI,Charlottetown,347,Major Market,Espresso,Caffe Mocha,Regular
-164,198,260,102,3076,-110,150,190,31/07/2019,Atlantic,PEI,Charlottetown,716,Major Market,Herbal Tea,Mint,Decaf
-157,202,238,121,2797,-150,250,290,31/07/2019,West,British Columbia,Victoria,690,Major Market,Coffee,Decaf Irish Cream,Decaf
-138,87,154,71,1832,-150,100,190,31/07/2019,West,British Columbia,Victoria,690,Major Market,Coffee,Amaretto,Regular
-12,169,120,61,1334,-10,140,100,31/07/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Herbal Tea,Mint,Decaf
-12,169,120,61,1334,0,140,100,31/07/2019,North,Nunavut,Kugluktuk,417,Small Market,Herbal Tea,Lemon,Decaf
-11,169,120,60,1334,10,210,150,31/07/2019,Atlantic,New Brunswick,Fredricton,550,Small Market,Coffee,Decaf Irish Cream,Decaf
-10,95,39,66,517,0,80,30,31/07/2019,Prairie,Alberta,Calgary,370,Major Market,Herbal Tea,Lemon,Decaf
-10,95,39,66,517,20,110,40,31/07/2019,Central,Ontario,Ottawa,971,Small Market,Coffee,Amaretto,Regular
-9,95,39,65,517,0,90,40,31/07/2019,West,British Columbia,Kelowna,670,Major Market,Coffee,Decaf Irish Cream,Decaf
-6,113,47,72,622,0,90,40,31/07/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Tea,Earl Grey,Regular
-6,113,47,72,-395,0,90,40,31/07/2019,North,Yukon,Whitehorse,985,Small Market,Espresso,Caffe Latte,Regular
-5,113,47,71,622,20,110,40,31/07/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Espresso,Caffe Mocha,Regular
-5,113,47,71,622,0,70,30,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Tea,Green Tea,Regular
-1,141,59,83,338,0,120,50,31/07/2019,Atlantic,New Brunswick,Fredricton,550,Small Market,Espresso,Caffe Mocha,Regular
-1,141,59,83,338,10,130,50,31/07/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Espresso,Caffe Mocha,Regular
-1,141,59,83,338,10,120,50,31/07/2019,North,Nunavut,Kugluktuk,816,Small Market,Herbal Tea,Chamomile,Decaf
-1,82,36,47,252,20,100,40,31/07/2019,Central,Ontario,Kingston,738,Medium Market,Coffee,Colombian,Regular
0,141,59,82,338,10,90,30,31/07/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Tea,Darjeeling,Regular
0,82,36,46,252,10,60,20,31/07/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Herbal Tea,Lemon,Decaf
0,89,40,49,219,10,80,30,31/07/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Espresso,Regular Espresso,Regular
0,82,36,46,252,0,70,30,31/07/2019,North,Nunavut,Kugluktuk,816,Small Market,Tea,Green Tea,Regular
0,94,39,55,478,20,110,40,31/07/2019,Central,Ontario,Ottawa,971,Small Market,Coffee,Colombian,Regular
1,89,40,48,-258,10,70,30,31/07/2019,Atlantic,New Brunswick,Fredricton,550,Small Market,Espresso,Caffe Latte,Regular
1,89,40,48,219,20,60,20,31/07/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Tea,Green Tea,Regular
1,89,40,48,219,0,70,30,31/07/2019,North,Nunavut,Kugluktuk,816,Small Market,Tea,Earl Grey,Regular
7,111,39,65,560,20,100,30,31/07/2019,Atlantic,Newfoundland,Mount Pearl,2050,Major Market,Espresso,Caffe Mocha,Regular
9,44,18,17,486,20,30,10,31/07/2019,West,British Columbia,Kelowna,670,Major Market,Herbal Tea,Chamomile,Decaf
9,44,18,17,486,20,40,10,31/07/2019,Atlantic,Newfoundland,Mount Pearl,2050,Major Market,Tea,Green Tea,Regular
9,75,34,32,1010,20,70,30,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Coffee,Colombian,Regular
9,75,34,32,1010,30,90,40,31/07/2019,Central,Ontario,Waterloo,775,Small Market,Coffee,Decaf Irish Cream,Decaf
9,44,18,17,486,10,20,10,31/07/2019,Central,Ontario,Ottawa,541,Small Market,Tea,Darjeeling,Regular
9,44,18,17,486,20,30,10,31/07/2019,Central,Quebec,Sherbrooke,918,Small Market,Espresso,Caffe Mocha,Regular
10,75,34,31,1010,20,70,30,31/07/2019,Atlantic,New Brunswick,Fredricton,550,Small Market,Herbal Tea,Lemon,Decaf
11,115,51,53,419,30,130,50,31/07/2019,West,British Columbia,Kelowna,670,Major Market,Espresso,Decaf Espresso,Decaf
11,115,51,53,419,20,80,30,31/07/2019,Atlantic,Newfoundland,Mount Pearl,2050,Major Market,Herbal Tea,Lemon,Decaf
12,115,51,52,419,20,100,40,31/07/2019,Prairie,Alberta,Calgary,370,Major Market,Tea,Darjeeling,Regular
12,54,23,19,605,20,50,20,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Coffee,Decaf Irish Cream,Decaf
12,49,20,17,808,20,40,10,31/07/2019,Central,Ontario,Waterloo,702,Small Market,Espresso,Decaf Espresso,Decaf
12,115,51,52,419,30,110,40,31/07/2019,Central,Ontario,Ottawa,971,Small Market,Espresso,Caffe Latte,Regular
13,49,20,16,808,20,50,20,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Espresso,Caffe Mocha,Regular
15,51,20,16,814,20,50,20,31/07/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Tea,Green Tea,Regular
16,57,23,18,868,40,50,10,31/07/2019,West,British Columbia,Kelowna,670,Major Market,Herbal Tea,Lemon,Decaf
16,100,43,41,388,20,90,40,31/07/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Espresso,Decaf Espresso,Decaf
16,100,43,41,388,40,120,50,31/07/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Coffee,Colombian,Regular
16,57,23,18,868,30,60,20,31/07/2019,Atlantic,Newfoundland,Mount Pearl,2050,Major Market,Tea,Darjeeling,Regular
16,57,23,18,868,40,70,20,31/07/2019,Central,Quebec,Sherbrooke,405,Small Market,Coffee,Decaf Irish Cream,Decaf
17,61,25,19,854,20,50,20,31/07/2019,Atlantic,New Brunswick,Fredricton,550,Small Market,Herbal Tea,Chamomile,Decaf
17,103,44,42,258,30,70,20,31/07/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Tea,Earl Grey,Regular
17,61,25,19,854,30,60,20,31/07/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Tea,Darjeeling,Regular
17,61,25,19,854,30,60,20,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Coffee,Amaretto,Regular
17,103,44,42,258,30,90,30,31/07/2019,North,Nunavut,Rankin Inlet,636,Small Market,Tea,Darjeeling,Regular
17,61,25,19,854,20,50,20,31/07/2019,Central,Ontario,Waterloo,775,Small Market,Espresso,Caffe Mocha,Regular
18,85,34,33,432,30,80,30,31/07/2019,West,British Columbia,Kelowna,670,Major Market,Coffee,Colombian,Regular
18,103,44,41,258,20,80,30,31/07/2019,Atlantic,New Brunswick,Fredricton,550,Small Market,Espresso,Decaf Espresso,Decaf
18,133,59,56,403,20,130,60,31/07/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Coffee,Amaretto,Regular
18,133,59,56,403,20,120,50,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Espresso,Caffe Mocha,Regular
18,85,34,33,432,40,100,40,31/07/2019,Central,Ontario,Kitchener,503,Large Market,Coffee,Decaf Irish Cream,Decaf
19,85,34,32,432,30,80,30,31/07/2019,Prairie,Alberta,Red Deer,965,Major Market,Herbal Tea,Lemon,Decaf
19,133,59,55,403,30,130,50,31/07/2019,Central,Quebec,Sherbrooke,405,Small Market,Herbal Tea,Chamomile,Decaf
19,133,59,55,403,30,100,40,31/07/2019,Prairie,Saskatchewan,Saskatoon,904,Major Market,Herbal Tea,Lemon,Decaf
20,110,47,43,420,30,100,40,31/07/2019,Prairie,Alberta,Red Deer,965,Major Market,Herbal Tea,Chamomile,Decaf
20,110,47,43,420,40,110,40,31/07/2019,West,British Columbia,Kelowna,670,Major Market,Coffee,Amaretto,Regular
20,90,36,34,462,30,60,20,31/07/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Tea,Earl Grey,Regular
20,110,47,43,420,30,100,40,31/07/2019,Central,Ontario,Kitchener,503,Large Market,Espresso,Caffe Mocha,Regular
21,110,47,42,420,20,90,40,31/07/2019,Prairie,Alberta,Calgary,370,Major Market,Herbal Tea,Mint,Decaf
21,90,36,33,462,10,70,30,31/07/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Tea,Darjeeling,Regular
21,90,36,33,462,20,70,30,31/07/2019,North,Yukon,Whitehorse,225,Small Market,Espresso,Decaf Espresso,Decaf
23,109,50,36,1051,20,90,40,31/07/2019,Prairie,Alberta,Calgary,370,Major Market,Tea,Earl Grey,Regular
24,74,30,20,829,40,60,20,31/07/2019,Central,Ontario,Kitchener,503,Large Market,Herbal Tea,Chamomile,Decaf
27,94,41,26,592,30,80,30,31/07/2019,Prairie,Alberta,Calgary,370,Major Market,Tea,Green Tea,Regular
27,94,41,26,592,30,80,30,31/07/2019,Central,Ontario,Kitchener,503,Large Market,Herbal Tea,Lemon,Decaf
28,94,41,25,592,40,110,50,31/07/2019,Central,Quebec,Sherbrooke,580,Small Market,Coffee,Colombian,Regular
29,104,39,36,380,40,90,30,31/07/2019,Atlantic,Newfoundland,Paradise,2900,Small Market,Herbal Tea,Chamomile,Decaf
29,104,39,36,380,30,70,20,31/07/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Tea,Darjeeling,Regular
30,131,52,49,-456,40,110,40,31/07/2019,Prairie,Alberta,Red Deer,965,Major Market,Espresso,Caffe Latte,Regular
30,131,52,49,668,20,80,30,31/07/2019,West,British Columbia,Victoria,690,Major Market,Tea,Green Tea,Regular
30,104,39,35,380,30,80,30,31/07/2019,North,Yukon,Whitehorse,225,Small Market,Espresso,Caffe Mocha,Regular
31,131,52,48,668,50,150,60,31/07/2019,Prairie,Alberta,Calgary,370,Major Market,Espresso,Decaf Espresso,Decaf
31,169,76,62,613,70,210,90,31/07/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Coffee,Decaf Irish Cream,Decaf
31,87,35,21,894,40,80,30,31/07/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Espresso,Decaf Espresso,Decaf
31,43,0,12,559,30,40,0,31/07/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Tea,Green Tea,Regular
31,43,0,12,559,40,50,0,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Espresso,Decaf Espresso,Decaf
31,297,124,142,717,100,370,150,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Coffee,Decaf Irish Cream,Decaf
31,169,76,62,613,40,170,80,31/07/2019,North,Nunavut,Rankin Inlet,636,Small Market,Coffee,Colombian,Regular
31,131,52,48,668,30,110,40,31/07/2019,Central,Quebec,Montreal,815,Major Market,Tea,Earl Grey,Regular
31,169,76,62,613,40,160,70,31/07/2019,North,Yukon,Whitehorse,318,Small Market,Herbal Tea,Lemon,Decaf
32,87,35,20,894,50,90,30,31/07/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Tea,Darjeeling,Regular
32,169,76,61,613,40,130,50,31/07/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Herbal Tea,Lemon,Decaf
32,132,60,40,1070,60,160,70,31/07/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Coffee,Amaretto,Regular
32,106,46,28,587,40,100,40,31/07/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Espresso,Caffe Mocha,Regular
32,297,124,141,717,60,310,130,31/07/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Coffee,Colombian,Regular
32,87,35,20,894,40,100,40,31/07/2019,North,Nunavut,Pangnirtung,573,Small Market,Espresso,Caffe Mocha,Regular
32,132,60,40,1070,40,130,60,31/07/2019,North,Nunavut,Iqaluit,314,Small Market,Coffee,Decaf Irish Cream,Decaf
32,43,0,11,559,30,40,0,31/07/2019,Central,Ontario,Waterloo,702,Small Market,Espresso,Caffe Latte,Regular
32,297,124,141,717,60,290,110,31/07/2019,Central,Quebec,Sherbrooke,405,Small Market,Herbal Tea,Lemon,Decaf
32,297,124,141,717,60,290,110,31/07/2019,Prairie,Saskatchewan,Saskatoon,386,Major Market,Espresso,Caffe Mocha,Regular
32,106,46,28,587,40,100,40,31/07/2019,North,Yukon,Whitehorse,318,Small Market,Herbal Tea,Chamomile,Decaf
33,132,60,39,1070,40,100,40,31/07/2019,Prairie,Manitoba,Winnipeg,1001,Small Market,Herbal Tea,Mint,Decaf
35,96,39,22,845,50,110,40,31/07/2019,North,Nunavut,Iqaluit,314,Small Market,Espresso,Decaf Espresso,Decaf
36,96,39,21,845,50,90,30,31/07/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Espresso,Caffe Latte,Regular
36,115,50,29,587,60,130,50,31/07/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Espresso,Decaf Espresso,Decaf
36,115,50,29,587,50,110,40,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Espresso,Caffe Latte,Regular
36,115,50,29,587,30,80,30,31/07/2019,Prairie,Saskatchewan,Saskatoon,863,Major Market,Herbal Tea,Chamomile,Decaf
36,99,40,23,843,50,120,50,31/07/2019,North,Yukon,Whitehorse,318,Small Market,Coffee,Colombian,Regular
37,99,40,22,843,50,80,30,31/07/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Herbal Tea,Lemon,Decaf
41,110,45,24,885,50,110,40,31/07/2019,Prairie,Saskatchewan,Saskatoon,386,Major Market,Tea,Darjeeling,Regular
43,160,64,53,467,60,150,60,31/07/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Coffee,Colombian,Regular
44,160,64,52,467,70,200,80,31/07/2019,Atlantic,New Brunswick,Fredricton,550,Small Market,Coffee,Colombian,Regular
44,160,64,52,467,60,140,50,31/07/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Herbal Tea,Lemon,Decaf
45,387,162,180,943,60,370,150,31/07/2019,West,British Columbia,Victoria,690,Major Market,Espresso,Caffe Mocha,Regular
45,387,162,180,943,70,340,130,31/07/2019,Central,Ontario,Kingston,738,Medium Market,Herbal Tea,Chamomile,Decaf
48,151,61,42,329,60,130,50,31/07/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Herbal Tea,Chamomile,Decaf
49,151,61,41,329,70,140,50,31/07/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Coffee,Amaretto,Regular
55,189,86,48,1081,50,140,60,31/07/2019,Prairie,Saskatchewan,Saskatoon,904,Major Market,Herbal Tea,Mint,Decaf
56,189,86,47,1081,90,220,90,31/07/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Espresso,Caffe Mocha,Regular
56,189,86,47,1081,70,180,80,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Espresso,Decaf Espresso,Decaf
58,144,59,27,870,60,120,50,31/07/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Herbal Tea,Lemon,Decaf
58,144,59,27,870,70,150,60,31/07/2019,Prairie,Saskatchewan,Saskatoon,954,Major Market,Tea,Green Tea,Regular
58,144,59,27,870,90,180,70,31/07/2019,North,Yukon,Whitehorse,318,Small Market,Coffee,Decaf Irish Cream,Decaf
71,199,87,41,564,80,200,90,31/07/2019,Prairie,Alberta,Calgary,370,Major Market,Coffee,Colombian,Regular
71,199,87,41,564,110,240,100,31/07/2019,Prairie,Alberta,Red Deer,965,Major Market,Coffee,Decaf Irish Cream,Decaf
71,227,97,59,575,80,230,100,31/07/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Coffee,Decaf Irish Cream,Decaf
71,227,97,59,575,80,220,90,31/07/2019,Prairie,Saskatchewan,Saskatoon,863,Major Market,Espresso,Decaf Espresso,Decaf
72,199,87,40,564,70,170,70,31/07/2019,West,British Columbia,Victoria,690,Major Market,Herbal Tea,Mint,Decaf
72,199,87,40,564,70,170,70,31/07/2019,Central,Quebec,Montreal,312,Major Market,Herbal Tea,Lemon,Decaf
75,225,90,60,1148,90,210,80,31/07/2019,Prairie,Manitoba,Brandon,1200,Small Market,Coffee,Colombian,Regular
75,225,90,60,1148,80,190,70,31/07/2019,Atlantic,Nova Scotia,Halifax,6300,Small Market,Herbal Tea,Chamomile,Decaf
75,211,86,50,463,120,260,100,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Coffee,Colombian,Regular
81,291,145,65,1304,80,250,120,31/07/2019,Prairie,Alberta,Calgary,370,Major Market,Herbal Tea,Chamomile,Decaf
81,291,145,65,1304,120,340,160,31/07/2019,West,British Columbia,Kelowna,670,Major Market,Espresso,Caffe Mocha,Regular
81,291,145,65,1304,100,280,130,31/07/2019,Atlantic,Newfoundland,Mount Pearl,2050,Major Market,Espresso,Regular Espresso,Regular
81,291,145,65,1304,90,270,130,31/07/2019,Central,Ontario,Ottawa,541,Small Market,Espresso,Decaf Espresso,Decaf
98,230,94,38,608,140,270,100,31/07/2019,Prairie,Alberta,Calgary,370,Major Market,Espresso,Caffe Mocha,Regular
98,230,94,38,608,90,190,80,31/07/2019,Prairie,Alberta,Red Deer,965,Major Market,Espresso,Decaf Espresso,Decaf
98,230,94,38,608,80,150,60,31/07/2019,West,British Columbia,Victoria,690,Major Market,Tea,Earl Grey,Regular
98,230,94,38,608,120,240,90,31/07/2019,Atlantic,PEI,Montague,315,Major Market,Tea,Green Tea,Regular
99,230,94,37,608,90,200,80,31/07/2019,Central,Quebec,Montreal,815,Major Market,Tea,Darjeeling,Regular
103,286,114,69,822,100,240,90,31/07/2019,Central,Quebec,Sherbrooke,580,Small Market,Espresso,Decaf Espresso,Decaf
104,286,114,68,822,100,250,90,31/07/2019,West,British Columbia,Kelowna,670,Major Market,Tea,Darjeeling,Regular
104,286,114,68,822,80,190,70,31/07/2019,Central,Ontario,Kitchener,503,Large Market,Tea,Earl Grey,Regular
104,286,114,68,822,120,270,100,31/07/2019,Prairie,Saskatchewan,Saskatoon,904,Major Market,Coffee,Colombian,Regular
111,256,104,41,952,120,260,110,31/07/2019,Prairie,Alberta,Calgary,370,Major Market,Coffee,Amaretto,Regular
111,256,104,41,952,120,270,110,31/07/2019,Atlantic,PEI,Montague,518,Major Market,Tea,Earl Grey,Regular
111,256,104,41,952,120,220,80,31/07/2019,Central,Quebec,Montreal,312,Major Market,Herbal Tea,Chamomile,Decaf
112,256,104,40,952,120,220,80,31/07/2019,Prairie,Alberta,Red Deer,965,Major Market,Espresso,Caffe Mocha,Regular
112,256,104,40,952,100,170,60,31/07/2019,West,British Columbia,Victoria,690,Major Market,Tea,Darjeeling,Regular
128,336,141,67,692,110,290,120,31/07/2019,West,British Columbia,Kelowna,670,Major Market,Tea,Earl Grey,Regular
128,336,141,67,-942,110,280,120,31/07/2019,Central,Quebec,Sherbrooke,580,Small Market,Espresso,Caffe Latte,Regular
129,336,141,66,692,90,220,90,31/07/2019,Central,Ontario,Kitchener,503,Large Market,Tea,Green Tea,Regular
129,336,141,66,692,130,310,130,31/07/2019,Prairie,Saskatchewan,Saskatoon,727,Major Market,Coffee,Decaf Irish Cream,Decaf
138,312,127,47,1007,160,330,130,31/07/2019,Atlantic,PEI,Montague,212,Major Market,Tea,Darjeeling,Regular
139,312,127,46,1007,150,320,130,31/07/2019,Prairie,Alberta,Calgary,370,Major Market,Coffee,Decaf Irish Cream,Decaf
139,312,127,46,1007,150,270,100,31/07/2019,West,British Columbia,Victoria,690,Major Market,Herbal Tea,Chamomile,Decaf
139,312,127,46,1007,150,270,100,31/07/2019,Central,Quebec,Montreal,815,Major Market,Herbal Tea,Mint,Decaf
150,376,154,72,833,150,330,130,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Herbal Tea,Lemon,Decaf
150,376,154,72,833,150,330,130,31/07/2019,Central,Ontario,Kingston,738,Medium Market,Herbal Tea,Mint,Decaf
150,376,154,72,833,170,390,160,31/07/2019,Central,Quebec,Montreal,217,Major Market,Coffee,Decaf Irish Cream,Decaf
167,532,266,99,1819,170,510,250,31/07/2019,West,British Columbia,Victoria,690,Major Market,Espresso,Caffe Latte,Regular
167,532,266,99,1819,150,460,220,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Tea,Darjeeling,Regular
168,532,266,98,1819,130,360,170,31/07/2019,Central,Ontario,Waterloo,775,Small Market,Tea,Earl Grey,Regular
168,532,266,98,1819,220,620,300,31/07/2019,Central,Quebec,Montreal,312,Major Market,Espresso,Decaf Espresso,Decaf
182,546,266,98,1355,190,530,250,31/07/2019,Atlantic,PEI,Charlottetown,585,Major Market,Espresso,Regular Espresso,Regular
197,602,270,135,1834,170,520,230,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Tea,Earl Grey,Regular
205,567,260,102,1319,200,490,220,31/07/2019,West,British Columbia,Victoria,690,Major Market,Herbal Tea,Lemon,Decaf
206,567,260,101,1319,290,700,320,31/07/2019,Prairie,Alberta,Red Deer,965,Major Market,Coffee,Colombian,Regular
208,567,238,121,1190,200,490,200,31/07/2019,Central,Ontario,Kingston,738,Medium Market,Herbal Tea,Lemon,Decaf
208,567,238,121,1190,230,590,250,31/07/2019,Central,Quebec,Montreal,312,Major Market,Coffee,Colombian,Regular
258,678,291,129,1742,240,590,250,31/07/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Herbal Tea,Chamomile,Decaf
258,678,291,129,1742,190,460,190,31/07/2019,Central,Ontario,Kingston,738,Medium Market,Tea,Darjeeling,Regular
259,678,291,128,1742,260,650,270,31/07/2019,West,British Columbia,Victoria,690,Major Market,Espresso,Decaf Espresso,Decaf
259,678,291,128,1742,340,800,330,31/07/2019,Central,Quebec,Montreal,224,Major Market,Espresso,Caffe Mocha,Regular
370,912,364,178,2654,530,1140,450,31/07/2019,West,British Columbia,Victoria,690,Major Market,Coffee,Colombian,Regular
370,912,364,178,2654,370,860,340,31/07/2019,Atlantic,PEI,Charlottetown,845,Major Market,Coffee,Colombian,Regular
388,793,270,135,1781,310,610,200,31/07/2019,Atlantic,PEI,Montague,516,Major Market,Herbal Tea,Lemon,Decaf
564,665,52,49,-1493,560,630,40,31/07/2019,Atlantic,Newfoundland,Mount Pearl,2050,Major Market,Coffee,Colombian,Regular
-404,21,284,141,5807,-260,0,180,31/08/2019,Central,Ontario,Waterloo,775,Small Market,Tea,Green Tea,Regular
-304,124,311,117,3422,-230,90,230,31/08/2019,Atlantic,PEI,Charlottetown,718,Major Market,Herbal Tea,Mint,Decaf
-284,78,173,189,2615,-260,70,160,31/08/2019,Atlantic,PEI,Summerside,518,Major Market,Espresso,Caffe Mocha,Regular
-139,87,154,72,2105,-150,100,190,31/08/2019,West,British Columbia,Victoria,690,Major Market,Coffee,Amaretto,Regular
-137,166,196,107,3139,-140,200,240,31/08/2019,West,British Columbia,Victoria,690,Major Market,Coffee,Decaf Irish Cream,Decaf
-42,139,120,61,1439,-30,170,150,31/08/2019,Atlantic,New Brunswick,Fredricton,550,Small Market,Coffee,Decaf Irish Cream,Decaf
-41,139,120,60,1439,-30,120,100,31/08/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Herbal Tea,Mint,Decaf
-41,139,120,60,1439,-20,120,100,31/08/2019,North,Nunavut,Pangnirtung,573,Small Market,Herbal Tea,Lemon,Decaf
-11,89,37,63,513,10,90,30,31/08/2019,West,British Columbia,Kelowna,670,Major Market,Coffee,Decaf Irish Cream,Decaf
-11,89,37,63,513,20,110,40,31/08/2019,Central,Ontario,Ottawa,541,Small Market,Coffee,Amaretto,Regular
-10,89,37,62,513,0,70,30,31/08/2019,Prairie,Alberta,Calgary,370,Major Market,Herbal Tea,Lemon,Decaf
-9,65,29,45,215,10,40,10,31/08/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Tea,Green Tea,Regular
-9,65,29,45,215,0,60,20,31/08/2019,North,Northwest Territories,Yellowknife,4200,Small Market,Espresso,Regular Espresso,Regular
-9,65,29,45,215,-10,50,20,31/08/2019,North,Nunavut,Rankin Inlet,660,Small Market,Tea,Earl Grey,Regular
-8,105,44,69,617,10,100,40,31/08/2019,Prairie,Manitoba,Brandon,1200,Small Market,Espresso,Caffe Mocha,Regular
-8,65,29,44,-347,0,50,20,31/08/2019,Atlantic,New Brunswick,Fredricton,550,Small Market,Espresso,Caffe Latte,Regular
-8,105,44,69,617,10,70,20,31/08/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Tea,Green Tea,Regular
-7,105,44,68,617,10,90,30,31/08/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Tea,Earl Grey,Regular
-7,105,44,68,-508,10,90,30,31/08/2019,North,Yukon,Whitehorse,985,Small Market,Espresso,Caffe Latte,Regular
1,86,38,47,248,10,60,20,31/08/2019,North,Northwest Territories,Yellowknife,4001,Small Market,Herbal Tea,Lemon,Decaf
1,151,63,87,332,10,140,60,31/08/2019,North,Northwest Territories,Yellowknife,4200,Small Market,Espresso,Caffe Mocha,Regular
1,32,14,17,602,10,30,10,31/08/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Coffee,Decaf Irish Cream,Decaf
1,86,38,47,248,0,70,30,31/08/2019,North,Nunavut,Kugluktuk,417,Small Market,Tea,Green Tea,Regular
1,86,38,47,248,20,100,40,31/08/2019,Central,Ontario,Waterloo,702,Small Market,Coffee,Colombian,Regular
2,151,63,86,332,0,120,50,31/08/2019,Atlantic,New Brunswick,Fredricton,550,Small Market,Espresso,Caffe Mocha,Regular
2,151,63,86,332,10,100,40,31/08/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Tea,Darjeeling,Regular
2,151,63,86,332,20,130,50,31/08/2019,North,Nunavut,Iqaluit,314,Small Market,Herbal Tea,Chamomile,Decaf
6,105,37,62,540,20,100,30,31/08/2019,Atlantic,Newfoundland,Mount Pearl,2050,Major Market,Espresso,Caffe Mocha,Regular
8,109,49,52,414,20,120,50,31/08/2019,West,British Columbia,Kelowna,670,Major Market,Espresso,Decaf Espresso,Decaf
8,114,47,59,474,40,140,50,31/08/2019,Central,Ontario,Ottawa,971,Small Market,Coffee,Colombian,Regular
9,109,49,51,414,10,90,40,31/08/2019,Prairie,Alberta,Calgary,370,Major Market,Tea,Darjeeling,Regular
